Code,Name,Year,Source,Population,Inland_Area_Hectares,Total_Area_Hectares,Population_per_hectare,Square_Kilometres,Population_per_square_kilometre
E09000001,City of London,2047,GLA Population Projections,10587,290.4,314.9,36.5,2.9,3645.7
E09000001,City of London,2048,GLA Population Projections,10590,290.4,314.9,36.5,2.9,3646.8
E09000001,City of London,2049,GLA Population Projections,10596,290.4,314.9,36.5,2.9,3648.8
E09000001,City of London,2050,GLA Population Projections,10604,290.4,314.9,36.5,2.9,3651.6
E09000002,Barking and Dagenham,1999,ONS MYE,162444,3610.8,3779.9,45,36.1,4498.9
E09000002,Barking and Dagenham,2000,ONS MYE,163893,3610.8,3779.9,45.4,36.1,4539
E09000002,Barking and Dagenham,2001,ONS MYE,165654,3610.8,3779.9,45.9,36.1,4587.8
E09000002,Barking and Dagenham,2002,ONS MYE,166357,3610.8,3779.9,46.1,36.1,4607.2
E09000002,Barking and Dagenham,2003,ONS MYE,166210,3610.8,3779.9,46,36.1,4603.2
E09000002,Barking and Dagenham,2004,ONS MYE,165610,3610.8,3779.9,45.9,36.1,4586.5
E09000002,Barking and Dagenham,2005,ONS MYE,166275,3610.8,3779.9,46,36.1,4605
E09000002,Barking and Dagenham,2006,ONS MYE,167157,3610.8,3779.9,46.3,36.1,4629.4
E09000002,Barking and Dagenham,2007,ONS MYE,169031,3610.8,3779.9,46.8,36.1,4681.3
E09000002,Barking and Dagenham,2008,ONS MYE,172452,3610.8,3779.9,47.8,36.1,4776
E09000002,Barking and Dagenham,2009,ONS MYE,177580,3610.8,3779.9,49.2,36.1,4918
E09000002,Barking and Dagenham,2010,ONS MYE,182838,3610.8,3779.9,50.6,36.1,5063.7
E09000002,Barking and Dagenham,2011,GLA Population Projections,187418,3610.8,3779.9,51.9,36.1,5190.5
E09000002,Barking and Dagenham,2012,GLA Population Projections,190949,3610.8,3779.9,52.9,36.1,5288.3
E09000002,Barking and Dagenham,2013,GLA Population Projections,194741,3610.8,3779.9,53.9,36.1,5393.3
E09000002,Barking and Dagenham,2014,GLA Population Projections,198683,3610.8,3779.9,55,36.1,5502.5
E09000002,Barking and Dagenham,2015,GLA Population Projections,202368,3610.8,3779.9,56,36.1,5604.5
E09000002,Barking and Dagenham,2016,GLA Population Projections,206849,3610.8,3779.9,57.3,36.1,5728.6
E09000002,Barking and Dagenham,2017,GLA Population Projections,210513,3610.8,3779.9,58.3,36.1,5830.1
E09000002,Barking and Dagenham,2018,GLA Population Projections,212773,3610.8,3779.9,58.9,36.1,5892.7
E09000002,Barking and Dagenham,2019,GLA Population Projections,214858,3610.8,3779.9,59.5,36.1,5950.5
E09000002,Barking and Dagenham,2020,GLA Population Projections,218367,3610.8,3779.9,60.5,36.1,6047.6
E09000002,Barking and Dagenham,2021,GLA Population Projections,221495,3610.8,3779.9,61.3,36.1,6134.3
E09000002,Barking and Dagenham,2022,GLA Population Projections,224407,3610.8,3779.9,62.1,36.1,6214.9
E09000002,Barking and Dagenham,2023,GLA Population Projections,226988,3610.8,3779.9,62.9,36.1,6286.4
E09000002,Barking and Dagenham,2024,GLA Population Projections,229337,3610.8,3779.9,63.5,36.1,6351.5
E09000002,Barking and Dagenham,2025,GLA Population Projections,234317,3610.8,3779.9,64.9,36.1,6489.4
E09000002,Barking and Dagenham,2026,GLA Population Projections,239301,3610.8,3779.9,66.3,36.1,6627.4
E09000002,Barking and Dagenham,2027,GLA Population Projections,244088,3610.8,3779.9,67.6,36.1,6760
E09000002,Barking and Dagenham,2028,GLA Population Projections,248726,3610.8,3779.9,68.9,36.1,6888.4
E09000002,Barking and Dagenham,2029,GLA Population Projections,253501,3610.8,3779.9,70.2,36.1,7020.7
E09000002,Barking and Dagenham,2030,GLA Population Projections,260560,3610.8,3779.9,72.2,36.1,7216.2
E09000002,Barking and Dagenham,2031,GLA Population Projections,267130,3610.8,3779.9,74,36.1,7398.1
E09000002,Barking and Dagenham,2032,GLA Population Projections,273369,3610.8,3779.9,75.7,36.1,7570.9
E09000002,Barking and Dagenham,2033,GLA Population Projections,279501,3610.8,3779.9,77.4,36.1,7740.7
E09000002,Barking and Dagenham,2034,GLA Population Projections,285672,3610.8,3779.9,79.1,36.1,7911.6
E09000002,Barking and Dagenham,2035,GLA Population Projections,290428,3610.8,3779.9,80.4,36.1,8043.4
E09000002,Barking and Dagenham,2036,GLA Population Projections,294770,3610.8,3779.9,81.6,36.1,8163.6
E09000002,Barking and Dagenham,2037,GLA Population Projections,298772,3610.8,3779.9,82.7,36.1,8274.4
E09000002,Barking and Dagenham,2038,GLA Population Projections,302771,3610.8,3779.9,83.9,36.1,8385.2
E09000002,Barking and Dagenham,2039,GLA Population Projections,306813,3610.8,3779.9,85,36.1,8497.1
E09000002,Barking and Dagenham,2040,GLA Population Projections,311674,3610.8,3779.9,86.3,36.1,8631.8
E09000002,Barking and Dagenham,2041,GLA Population Projections,316582,3610.8,3779.9,87.7,36.1,8767.7
E09000002,Barking and Dagenham,2042,GLA Population Projections,317267,3610.8,3779.9,87.9,36.1,8786.7
E09000002,Barking and Dagenham,2043,GLA Population Projections,317574,3610.8,3779.9,88,36.1,8795.2
E09000002,Barking and Dagenham,2044,GLA Population Projections,317811,3610.8,3779.9,88,36.1,8801.7
E09000002,Barking and Dagenham,2045,GLA Population Projections,318243,3610.8,3779.9,88.1,36.1,8813.7
E09000002,Barking and Dagenham,2046,GLA Population Projections,318881,3610.8,3779.9,88.3,36.1,8831.4
E09000002,Barking and Dagenham,2047,GLA Population Projections,319622,3610.8,3779.9,88.5,36.1,8851.9
E09000002,Barking and Dagenham,2048,GLA Population Projections,320408,3610.8,3779.9,88.7,36.1,8873.6
E09000002,Barking and Dagenham,2049,GLA Population Projections,321349,3610.8,3779.9,89,36.1,8899.7
E09000002,Barking and Dagenham,2050,GLA Population Projections,322490,3610.8,3779.9,89.3,36.1,8931.3
E09000003,Barnet,1999,ONS MYE,313469,8674.8,8674.8,36.1,86.7,3613.5
E09000003,Barnet,2000,ONS MYE,315784,8674.8,8674.8,36.4,86.7,3640.2
E09000003,Barnet,2001,ONS MYE,319481,8674.8,8674.8,36.8,86.7,3682.8
E09000003,Barnet,2002,ONS MYE,320552,8674.8,8674.8,37,86.7,3695.2
E09000003,Barnet,2003,ONS MYE,321802,8674.8,8674.8,37.1,86.7,3709.6
E09000003,Barnet,2004,ONS MYE,323723,8674.8,8674.8,37.3,86.7,3731.7
E09000003,Barnet,2005,ONS MYE,327541,8674.8,8674.8,37.8,86.7,3775.8
E09000003,Barnet,2006,ONS MYE,330801,8674.8,8674.8,38.1,86.7,3813.3
E09000003,Barnet,2007,ONS MYE,334837,8674.8,8674.8,38.6,86.7,3859.9
E09000003,Barnet,2008,ONS MYE,339212,8674.8,8674.8,39.1,86.7,3910.3
E09000003,Barnet,2009,ONS MYE,345829,8674.8,8674.8,39.9,86.7,3986.6
E09000003,Barnet,2010,ONS MYE,351438,8674.8,8674.8,40.5,86.7,4051.2
E09000003,Barnet,2011,GLA Population Projections,357653,8674.8,8674.8,41.2,86.7,4122.9
E09000003,Barnet,2012,GLA Population Projections,364071,8674.8,8674.8,42,86.7,4196.9
E09000003,Barnet,2013,GLA Population Projections,369203,8674.8,8674.8,42.6,86.7,4256
E09000003,Barnet,2014,GLA Population Projections,375030,8674.8,8674.8,43.2,86.7,4323.2
E09000003,Barnet,2015,GLA Population Projections,379806,8674.8,8674.8,43.8,86.7,4378.3
E09000003,Barnet,2016,GLA Population Projections,386198,8674.8,8674.8,44.5,86.7,4451.9
E09000003,Barnet,2017,GLA Population Projections,391446,8674.8,8674.8,45.1,86.7,4512.4
E09000003,Barnet,2018,GLA Population Projections,397049,8674.8,8674.8,45.8,86.7,4577
E09000003,Barnet,2019,GLA Population Projections,402363,8674.8,8674.8,46.4,86.7,4638.3
E09000003,Barnet,2020,GLA Population Projections,407148,8674.8,8674.8,46.9,86.7,4693.4
E09000003,Barnet,2021,GLA Population Projections,411275,8674.8,8674.8,47.4,86.7,4741
E09000003,Barnet,2022,GLA Population Projections,415041,8674.8,8674.8,47.8,86.7,4784.4
E09000003,Barnet,2023,GLA Population Projections,418291,8674.8,8674.8,48.2,86.7,4821.9
E09000003,Barnet,2024,GLA Population Projections,420924,8674.8,8674.8,48.5,86.7,4852.2
E09000003,Barnet,2025,GLA Population Projections,422894,8674.8,8674.8,48.7,86.7,4875
E09000003,Barnet,2026,GLA Population Projections,424509,8674.8,8674.8,48.9,86.7,4893.6
E09000003,Barnet,2027,GLA Population Projections,426267,8674.8,8674.8,49.1,86.7,4913.8
E09000003,Barnet,2028,GLA Population Projections,431140,8674.8,8674.8,49.7,86.7,4970
E09000003,Barnet,2029,GLA Population Projections,436032,8674.8,8674.8,50.3,86.7,5026.4
E09000003,Barnet,2030,GLA Population Projections,438006,8674.8,8674.8,50.5,86.7,5049.2
E09000003,Barnet,2031,GLA Population Projections,439515,8674.8,8674.8,50.7,86.7,5066.6
E09000003,Barnet,2032,GLA Population Projections,441391,8674.8,8674.8,50.9,86.7,5088.2
E09000003,Barnet,2033,GLA Population Projections,443373,8674.8,8674.8,51.1,86.7,5111
E09000003,Barnet,2034,GLA Population Projections,445344,8674.8,8674.8,51.3,86.7,5133.7
E09000003,Barnet,2035,GLA Population Projections,448191,8674.8,8674.8,51.7,86.7,5166.6
E09000003,Barnet,2036,GLA Population Projections,451348,8674.8,8674.8,52,86.7,5203
E09000003,Barnet,2037,GLA Population Projections,454571,8674.8,8674.8,52.4,86.7,5240.1
E09000003,Barnet,2038,GLA Population Projections,457814,8674.8,8674.8,52.8,86.7,5277.5
E09000003,Barnet,2039,GLA Population Projections,461003,8674.8,8674.8,53.1,86.7,5314.3
E09000003,Barnet,2040,GLA Population Projections,463879,8674.8,8674.8,53.5,86.7,5347.4
E09000003,Barnet,2041,GLA Population Projections,466528,8674.8,8674.8,53.8,86.7,5377.9
E09000003,Barnet,2042,GLA Population Projections,469995,8674.8,8674.8,54.2,86.7,5417.9
E09000003,Barnet,2043,GLA Population Projections,473740,8674.8,8674.8,54.6,86.7,5461.1
E09000003,Barnet,2044,GLA Population Projections,477659,8674.8,8674.8,55.1,86.7,5506.3
E09000003,Barnet,2045,GLA Population Projections,481750,8674.8,8674.8,55.5,86.7,5553.4
E09000003,Barnet,2046,GLA Population Projections,486023,8674.8,8674.8,56,86.7,5602.7
E09000003,Barnet,2047,GLA Population Projections,490329,8674.8,8674.8,56.5,86.7,5652.3
E09000003,Barnet,2048,GLA Population Projections,494586,8674.8,8674.8,57,86.7,5701.4
E09000003,Barnet,2049,GLA Population Projections,498953,8674.8,8674.8,57.5,86.7,5751.7
E09000003,Barnet,2050,GLA Population Projections,503490,8674.8,8674.8,58,86.7,5804
E09000004,Bexley,1999,ONS MYE,217458,6058.1,6428.6,35.9,60.6,3589.6
E09000004,Bexley,2000,ONS MYE,218717,6058.1,6428.6,36.1,60.6,3610.3
E09000004,Bexley,2001,ONS MYE,218757,6058.1,6428.6,36.1,60.6,3611
E09000004,Bexley,2002,ONS MYE,219123,6058.1,6428.6,36.2,60.6,3617
E09000004,Bexley,2003,ONS MYE,220016,6058.1,6428.6,36.3,60.6,3631.8
E09000004,Bexley,2004,ONS MYE,220917,6058.1,6428.6,36.5,60.6,3646.7
E09000004,Bexley,2005,ONS MYE,222391,6058.1,6428.6,36.7,60.6,3671
E09000004,Bexley,2006,ONS MYE,223280,6058.1,6428.6,36.9,60.6,3685.7
E09000004,Bexley,2007,ONS MYE,224625,6058.1,6428.6,37.1,60.6,3707.9
E09000004,Bexley,2008,ONS MYE,226652,6058.1,6428.6,37.4,60.6,3741.3
E09000004,Bexley,2009,ONS MYE,228146,6058.1,6428.6,37.7,60.6,3766
E09000004,Bexley,2010,ONS MYE,230711,6058.1,6428.6,38.1,60.6,3808.3
E09000004,Bexley,2011,GLA Population Projections,233002,6058.1,6428.6,38.5,60.6,3846.1
E09000004,Bexley,2012,GLA Population Projections,234499,6058.1,6428.6,38.7,60.6,3870.9
E09000004,Bexley,2013,GLA Population Projections,236915,6058.1,6428.6,39.1,60.6,3910.7
E09000004,Bexley,2014,GLA Population Projections,240093,6058.1,6428.6,39.6,60.6,3963.2
E09000004,Bexley,2015,GLA Population Projections,242370,6058.1,6428.6,40,60.6,4000.8
E09000004,Bexley,2016,GLA Population Projections,244988,6058.1,6428.6,40.4,60.6,4044
E09000004,Bexley,2017,GLA Population Projections,247179,6058.1,6428.6,40.8,60.6,4080.2
E09000004,Bexley,2018,GLA Population Projections,249999,6058.1,6428.6,41.3,60.6,4126.7
E09000004,Bexley,2019,GLA Population Projections,252885,6058.1,6428.6,41.7,60.6,4174.4
E09000004,Bexley,2020,GLA Population Projections,254970,6058.1,6428.6,42.1,60.6,4208.8
E09000004,Bexley,2021,GLA Population Projections,256845,6058.1,6428.6,42.4,60.6,4239.7
E09000004,Bexley,2022,GLA Population Projections,258607,6058.1,6428.6,42.7,60.6,4268.8
E09000004,Bexley,2023,GLA Population Projections,260232,6058.1,6428.6,43,60.6,4295.6
E09000004,Bexley,2024,GLA Population Projections,262798,6058.1,6428.6,43.4,60.6,4338
E09000004,Bexley,2025,GLA Population Projections,265249,6058.1,6428.6,43.8,60.6,4378.4
E09000004,Bexley,2026,GLA Population Projections,267652,6058.1,6428.6,44.2,60.6,4418.1
E09000004,Bexley,2027,GLA Population Projections,270003,6058.1,6428.6,44.6,60.6,4456.9
E09000004,Bexley,2028,GLA Population Projections,272252,6058.1,6428.6,44.9,60.6,4494
E09000004,Bexley,2029,GLA Population Projections,274487,6058.1,6428.6,45.3,60.6,4530.9
E09000004,Bexley,2030,GLA Population Projections,276493,6058.1,6428.6,45.6,60.6,4564
E09000004,Bexley,2031,GLA Population Projections,278017,6058.1,6428.6,45.9,60.6,4589.2
E09000004,Bexley,2032,GLA Population Projections,279349,6058.1,6428.6,46.1,60.6,4611.2
E09000004,Bexley,2033,GLA Population Projections,280577,6058.1,6428.6,46.3,60.6,4631.5
E09000004,Bexley,2034,GLA Population Projections,281762,6058.1,6428.6,46.5,60.6,4651
E09000004,Bexley,2035,GLA Population Projections,283461,6058.1,6428.6,46.8,60.6,4679.1
E09000004,Bexley,2036,GLA Population Projections,285385,6058.1,6428.6,47.1,60.6,4710.8
E09000004,Bexley,2037,GLA Population Projections,287373,6058.1,6428.6,47.4,60.6,4743.6
E09000004,Bexley,2038,GLA Population Projections,289399,6058.1,6428.6,47.8,60.6,4777.1
E09000004,Bexley,2039,GLA Population Projections,291406,6058.1,6428.6,48.1,60.6,4810.2
E09000004,Bexley,2040,GLA Population Projections,293227,6058.1,6428.6,48.4,60.6,4840.3
E09000004,Bexley,2041,GLA Population Projections,294925,6058.1,6428.6,48.7,60.6,4868.3
E09000004,Bexley,2042,GLA Population Projections,297138,6058.1,6428.6,49,60.6,4904.8
E09000004,Bexley,2043,GLA Population Projections,299505,6058.1,6428.6,49.4,60.6,4943.9
E09000004,Bexley,2044,GLA Population Projections,301953,6058.1,6428.6,49.8,60.6,4984.3
E09000004,Bexley,2045,GLA Population Projections,303673,6058.1,6428.6,50.1,60.6,5012.7
E09000004,Bexley,2046,GLA Population Projections,303924,6058.1,6428.6,50.2,60.6,5016.8
E09000004,Bexley,2047,GLA Population Projections,304088,6058.1,6428.6,50.2,60.6,5019.6
E09000004,Bexley,2048,GLA Population Projections,304201,6058.1,6428.6,50.2,60.6,5021.4
E09000004,Bexley,2049,GLA Population Projections,304411,6058.1,6428.6,50.2,60.6,5024.9
E09000004,Bexley,2050,GLA Population Projections,304657,6058.1,6428.6,50.3,60.6,5028.9
E09000005,Brent,1999,ONS MYE,260317,4323.3,4323.3,60.2,43.2,6021.3
E09000005,Brent,2000,ONS MYE,264945,4323.3,4323.3,61.3,43.2,6128.4
E09000005,Brent,2001,ONS MYE,269620,4323.3,4323.3,62.4,43.2,6236.5
E09000005,Brent,2002,ONS MYE,269871,4323.3,4323.3,62.4,43.2,6242.3
E09000005,Brent,2003,ONS MYE,268323,4323.3,4323.3,62.1,43.2,6206.5
E09000005,Brent,2004,ONS MYE,268335,4323.3,4323.3,62.1,43.2,6206.8
E09000005,Brent,2005,ONS MYE,270939,4323.3,4323.3,62.7,43.2,6267
E09000005,Brent,2006,ONS MYE,276504,4323.3,4323.3,64,43.2,6395.7
E09000005,Brent,2007,ONS MYE,283273,4323.3,4323.3,65.5,43.2,6552.3
E09000005,Brent,2008,ONS MYE,290901,4323.3,4323.3,67.3,43.2,6728.7
E09000005,Brent,2009,ONS MYE,298118,4323.3,4323.3,69,43.2,6895.7
E09000005,Brent,2010,ONS MYE,304785,4323.3,4323.3,70.5,43.2,7049.9
E09000005,Brent,2011,GLA Population Projections,313084,4323.3,4323.3,72.4,43.2,7241.8
E09000005,Brent,2012,GLA Population Projections,315499,4323.3,4323.3,73,43.2,7297.7
E09000005,Brent,2013,GLA Population Projections,318103,4323.3,4323.3,73.6,43.2,7357.9
E09000005,Brent,2014,GLA Population Projections,321601,4323.3,4323.3,74.4,43.2,7438.8
E09000005,Brent,2015,GLA Population Projections,324851,4323.3,4323.3,75.1,43.2,7514
E09000005,Brent,2016,GLA Population Projections,329093,4323.3,4323.3,76.1,43.2,7612.1
E09000005,Brent,2017,GLA Population Projections,332750,4323.3,4323.3,77,43.2,7696.7
E09000005,Brent,2018,GLA Population Projections,336859,4323.3,4323.3,77.9,43.2,7791.8
E09000005,Brent,2019,GLA Population Projections,340710,4323.3,4323.3,78.8,43.2,7880.9
E09000005,Brent,2020,GLA Population Projections,343853,4323.3,4323.3,79.5,43.2,7953.6
E09000005,Brent,2021,GLA Population Projections,346437,4323.3,4323.3,80.1,43.2,8013.3
E09000005,Brent,2022,GLA Population Projections,348783,4323.3,4323.3,80.7,43.2,8067.6
E09000005,Brent,2023,GLA Population Projections,350714,4323.3,4323.3,81.1,43.2,8112.3
E09000005,Brent,2024,GLA Population Projections,353130,4323.3,4323.3,81.7,43.2,8168.1
E09000005,Brent,2025,GLA Population Projections,358170,4323.3,4323.3,82.8,43.2,8284.7
E09000005,Brent,2026,GLA Population Projections,363285,4323.3,4323.3,84,43.2,8403
E09000005,Brent,2027,GLA Population Projections,368396,4323.3,4323.3,85.2,43.2,8521.2
E09000005,Brent,2028,GLA Population Projections,373445,4323.3,4323.3,86.4,43.2,8638
E09000005,Brent,2029,GLA Population Projections,378557,4323.3,4323.3,87.6,43.2,8756.3
E09000005,Brent,2030,GLA Population Projections,382415,4323.3,4323.3,88.5,43.2,8845.5
E09000005,Brent,2031,GLA Population Projections,385760,4323.3,4323.3,89.2,43.2,8922.9
E09000005,Brent,2032,GLA Population Projections,388788,4323.3,4323.3,89.9,43.2,8992.9
E09000005,Brent,2033,GLA Population Projections,391791,4323.3,4323.3,90.6,43.2,9062.4
E09000005,Brent,2034,GLA Population Projections,394795,4323.3,4323.3,91.3,43.2,9131.9
E09000005,Brent,2035,GLA Population Projections,395877,4323.3,4323.3,91.6,43.2,9156.9
E09000005,Brent,2036,GLA Population Projections,396410,4323.3,4323.3,91.7,43.2,9169.2
E09000005,Brent,2037,GLA Population Projections,396914,4323.3,4323.3,91.8,43.2,9180.9
E09000005,Brent,2038,GLA Population Projections,397614,4323.3,4323.3,92,43.2,9197.1
E09000005,Brent,2039,GLA Population Projections,398411,4323.3,4323.3,92.2,43.2,9215.5
E09000005,Brent,2040,GLA Population Projections,399034,4323.3,4323.3,92.3,43.2,9229.9
E09000005,Brent,2041,GLA Population Projections,400066,4323.3,4323.3,92.5,43.2,9253.8
E09000005,Brent,2042,GLA Population Projections,401368,4323.3,4323.3,92.8,43.2,9283.9
E09000005,Brent,2043,GLA Population Projections,402989,4323.3,4323.3,93.2,43.2,9321.4
E09000005,Brent,2044,GLA Population Projections,404815,4323.3,4323.3,93.6,43.2,9363.6
E09000005,Brent,2045,GLA Population Projections,406836,4323.3,4323.3,94.1,43.2,9410.4
E09000005,Brent,2046,GLA Population Projections,409054,4323.3,4323.3,94.6,43.2,9461.7
E09000005,Brent,2047,GLA Population Projections,411338,4323.3,4323.3,95.1,43.2,9514.5
E09000005,Brent,2048,GLA Population Projections,413613,4323.3,4323.3,95.7,43.2,9567.1
E09000005,Brent,2049,GLA Population Projections,416017,4323.3,4323.3,96.2,43.2,9622.8
E09000005,Brent,2050,GLA Population Projections,418595,4323.3,4323.3,96.8,43.2,9682.4
E09000006,Bromley,1999,ONS MYE,294902,15013.5,15013.5,19.6,150.1,1964.2
E09000006,Bromley,2000,ONS MYE,295317,15013.5,15013.5,19.7,150.1,1967
E09000006,Bromley,2001,ONS MYE,296218,15013.5,15013.5,19.7,150.1,1973
E09000006,Bromley,2002,ONS MYE,296668,15013.5,15013.5,19.8,150.1,1976
E09000006,Bromley,2003,ONS MYE,297253,15013.5,15013.5,19.8,150.1,1979.9
E09000006,Bromley,2004,ONS MYE,297307,15013.5,15013.5,19.8,150.1,1980.3
E09000006,Bromley,2005,ONS MYE,299421,15013.5,15013.5,19.9,150.1,1994.3
E09000006,Bromley,2006,ONS MYE,300963,15013.5,15013.5,20,150.1,2004.6
E09000006,Bromley,2007,ONS MYE,302625,15013.5,15013.5,20.2,150.1,2015.7
E09000006,Bromley,2008,ONS MYE,304968,15013.5,15013.5,20.3,150.1,2031.3
E09000006,Bromley,2009,ONS MYE,306924,15013.5,15013.5,20.4,150.1,2044.3
E09000006,Bromley,2010,ONS MYE,308560,15013.5,15013.5,20.6,150.1,2055.2
E09000006,Bromley,2011,GLA Population Projections,311110,15013.5,15013.5,20.7,150.1,2072.2
E09000006,Bromley,2012,GLA Population Projections,314592,15013.5,15013.5,21,150.1,2095.4
E09000006,Bromley,2013,GLA Population Projections,318455,15013.5,15013.5,21.2,150.1,2121.1
E09000006,Bromley,2014,GLA Population Projections,321834,15013.5,15013.5,21.4,150.1,2143.6
E09000006,Bromley,2015,GLA Population Projections,325413,15013.5,15013.5,21.7,150.1,2167.5
E09000006,Bromley,2016,GLA Population Projections,327445,15013.5,15013.5,21.8,150.1,2181
E09000006,Bromley,2017,GLA Population Projections,330909,15013.5,15013.5,22,150.1,2204.1
E09000006,Bromley,2018,GLA Population Projections,332733,15013.5,15013.5,22.2,150.1,2216.2
E09000006,Bromley,2019,GLA Population Projections,334292,15013.5,15013.5,22.3,150.1,2226.6
E09000006,Bromley,2020,GLA Population Projections,336395,15013.5,15013.5,22.4,150.1,2240.6
E09000006,Bromley,2021,GLA Population Projections,339466,15013.5,15013.5,22.6,150.1,2261.1
E09000006,Bromley,2022,GLA Population Projections,342548,15013.5,15013.5,22.8,150.1,2281.6
E09000006,Bromley,2023,GLA Population Projections,345216,15013.5,15013.5,23,150.1,2299.4
E09000006,Bromley,2024,GLA Population Projections,347455,15013.5,15013.5,23.1,150.1,2314.3
E09000006,Bromley,2025,GLA Population Projections,349207,15013.5,15013.5,23.3,150.1,2326
E09000006,Bromley,2026,GLA Population Projections,350694,15013.5,15013.5,23.4,150.1,2335.9
E09000006,Bromley,2027,GLA Population Projections,351840,15013.5,15013.5,23.4,150.1,2343.5
E09000006,Bromley,2028,GLA Population Projections,353322,15013.5,15013.5,23.5,150.1,2353.4
E09000006,Bromley,2029,GLA Population Projections,355195,15013.5,15013.5,23.7,150.1,2365.8
E09000006,Bromley,2030,GLA Population Projections,356489,15013.5,15013.5,23.7,150.1,2374.5
E09000006,Bromley,2031,GLA Population Projections,358289,15013.5,15013.5,23.9,150.1,2386.4
